Node,X,Y
1112,370.277,117.581
1113,400.637,117.567
1114,405.004,110.928
1115,363.523,109.332
1116,401.4,117.782
1117,405.765,111.73
1118,402.488,108.276
1119,362.778,108.673
1120,401.924,118.004
1121,405.949,111.666
1122,406.135,112.121
1123,397.895,103.547
1124,362.199,108.237
1125,402.64,118.37
1126,406.115,111.636
1127,407.876,113.955
1128,395.834,101.416
1129,361.662,107.917
1130,403.403,118.788
1131,406.234,111.642
1132,410.576,111.251
1133,412.817,119.162
1134,395.271,100.737
1135,359.865,107.24
1136,404.072,119.263
1137,406.412,111.69
1138,410.799,111.009
1139,416.524,123.006
1140,394.615,99.988
1141,358.466,107.044
1142,405.076,120.164
1143,406.608,111.785
1144,410.973,110.737
1145,419.015,125.572
1146,394.053,99.239
1147,358.226,107.06
1148,409.542,124.768
1149,406.762,111.903
1150,411.070001,110.495
1151,421.503,128.134
1152,422.584,121.885
1153,393.491001,98.302
1154,358.173,107.124
1155,410.521,125.765
1156,406.905,112.069
1157,411.128,110.108
1158,428.046,134.982
1159,422.817,121.677
1160,393.35,98.021
1161,358.128,107.238
1162,402.061,133.908
1163,414.222,129.537
1164,407.012,112.242
1165,411.168999,109.638
1166,430.336,137.344
1167,422.995,121.454
1168,392.502,96.449
1169,358.1,107.486
1170,400.478,135.462
1171,418.986,134.687
1172,407.077,112.402
1173,411.246,109.29
1174,433.01,140.208
1175,433.317,134.379
1176,423.05,121.349
1177,392.189,95.49
1178,397,138.437
1179,419.788,135.555
1180,417.205,136.329
1181,407.101,112.58
1182,411.411,108.912
1183,433.422,140.627
1184,433.618,134.039
1185,423.119,121.103
1186,392.022,94.76
1187,422.932,138.982
1188,410.046,143.348
1189,407.095,112.734
1190,411.644,108.602
1191,435.046,142.277
1192,433.652,140.471
1193,433.84,133.66
1194,423.242,120.464
1195,391.938,94.092
1196,428.568,145.08
1197,408.647,144.72
1198,410.824,144.171
1199,407.042,112.918
1200,411.934,108.302
1201,435.693,142.947
1202,433.807,140.416
1203,433.971,133.334
1204,423.288,120.085
1205,392.001,93.258
1206,426.128,147.223
1207,430.019,146.649
1208,404,146.437
1209,410.916,144.302
1210,406.804,113.298
1211,412.39,107.856
1212,433.962,140.407
1213,434.023001,133.059
1214,423.388,119.837
1215,392.251,91.735
1216,418.512,154.638
1217,432.597,149.518
1218,410.961,144.423
1219,406.412,113.844
1220,413.643,106.646
1221,434.126,140.452
1222,434.089,132.471
1223,423.61,119.373
1224,392.69,90.463
1225,414,155.437
1226,433.519,150.541
1227,410.967,144.526
1228,413.75,106.543
1229,434.326,140.571
1230,434.18,132.014
1231,423.749,119.158
1232,393.065,89.628
1233,424.556,158.361
1234,434.273,151.379
1235,410.916,144.675
1236,413.805,106.502
1237,434.49,140.698
1238,434.287,131.709
1239,423.874,119.026
1240,393.399,89.128
1241,423.301,159.548
1242,410.807,144.824
1243,413.875,106.48
1244,434.59,140.834
1245,434.457,131.435
1246,425.352,117.563
1247,394.213,88.122
1248,418.000001,159.437
1249,418.000001,159.437
1250,410.606,145.024
1251,413.945,106.484
1252,434.626,140.962
1253,434.784,131.095
1254,425.796,117.14
1255,397.805,90.934
1256,394.752,87.456
1257,409.855,145.74
1258,414.019001,106.509
1259,434.635,141.135
1260,436.052,129.854
1261,425.913999,117.07
1262,398.309,91.313
1263,396.871,85.041
1264,408,150.437
1265,414.156,106.594
1266,434.599,141.326
1267,436.358,129.575
1268,423.706,114.409
1269,426.032,117.057
1270,398.514,91.518
1271,400.165,87.734
1272,397.583,84.23
1273,414.282,106.705
1274,434.508,141.48
1275,436.516,129.47
1276,422,111.437
1277,426.171,117.05
1278,398.683,91.818
1279,400.42,87.909
1280,400.173,81.298
1281,414.695,107.192
1282,434.071,141.899
1283,436.636,129.436
1284,426.296,117.064
1285,398.851,92.322
1286,400.648,88.023
1287,401.334,79.983
1288,399.467,80.719
1289,418.000001,106.437
1290,433.507,142.481
1291,436.096,128.746
1292,436.744,129.432
1293,426.414,117.112
1294,399.001,92.771
1295,400.996,88.123
1296,401.839,79.353
1297,396.292,78.583
1298,435.848,128.429
1299,436.819,129.447
1300,426.539,117.168
1301,399.188,93.088
1302,402.584001,88.474
1303,405.269,75.346
1304,395.726,77.956
1305,435.3925,127.9225
1306,436.898,129.488
1307,427.115,117.715
1308,399.454,93.461
1309,402.882,88.57
1310,405.5289834,75.04998543
1311,395.548,77.739
1312,434.472,126.994
1313,437.032,129.593
1314,430,119.437
1315,399.783,93.802
1316,403.093,88.666
1317,406.05,75.437
1318,410.291,69.628
1319,395.47,77.615
1320,433,123.437
1321,437.481,130.067
1322,400.191,94.184
1323,403.33,88.789
1324,408.636,77.555
1325,412.511,66.97
1326,395.408001,77.506
1327,439,128.437
1328,400.426,94.399
1329,403.549,88.938
1330,409.556,78.273
1331,419.594,72.736
